hotel_name,overall_rating,total_review,location,cleanliness_rating,service_rating,amenities_rating,facilities_rating,total_photo,room_rating,room_size,number_of_amenities,price
Veyron Park Hotel,3.9/5,282 reviews,"Esentepe Mh. Mithat Uluünlü Sk. No:15/1, Sisli, Istanbul",4.0/5,3.9/5,3.7/5,3.8/5,43+,4.2/5 guest room rating,161 sq ft,10.0,$27
Hotel Anemon Ege Saglik,4.0/5,244 reviews,"Bornova Ege Ueniversitesi Kampisi 12, Izmir, Izmir",4.1/5,4.1/5,3.4/5,3.8/5,28+,4.1/5 guest room rating,205 sq ft,13.0,$36
Radisson Blu Hotel Istanbul Pera,4.1/5,608 reviews,"Evliya Celebi Mah., Refik Saydam Cad. No 19 Tepebasi, Istanbul, Istanbul",4.3/5,4.2/5,4.0/5,4.2/5,102+,4.1/5 guest room rating,301 sq ft,16.0,$100
ibis Styles Istanbul Bomonti,4.2/5,131 reviews,"Halide Edip Adivar Mah, Akar Cad No 6 Sisli, Istanbul",4.3/5,4.3/5,4.6/5,4.3/5,110+,4.5/5 guest room rating,291 sq ft,12.0,$42
Metropolitan Hotels Bosphorus,4.3/5,293 reviews,"Purtelas Hasan Efendi Mahallesi, Meclis-i Mebusan Caddesi No. 47 Findikli, Istanbul",4.5/5,4.3/5,4.4/5,4.4/5,45+,4.3/5 guest room rating,269 sq ft,10.0,$70
The Byzantium Hotel & Suites - Special Class,3.8/5,526 reviews,"Akbiyik Cad. No:29, Istanbul, Istanbul, Istanbul",4.1/5,3.9/5,3.6/5,3.8/5,43+,4.2/5 guest room rating,161 sq ft,13.0,$45
Ramada Plaza by Wyndham Antalya,4.0/5,564 reviews,"Genclik Mh. Fevzi Cakmak Caddesi No:22, Antalya, Antalya",4.1/5,3.9/5,3.8/5,4.0/5,105+,4.4/5 guest room rating,161 sq ft,19.0,$93
Antalya NUN Hotel,4.3/5,205 reviews,"Çaglayan Mahallesi 2051 Sokak No: 22, Antalya, Antalya",4.3/5,4.3/5,4.2/5,4.2/5,67+,4.4/5 guest room rating,269 sq ft,7.0,$35
Le Meridien Istanbul Etiler,4.5/5,455 reviews,"Cengiz Topel Caddesi No:39, Etiler, Istanbul, Istanbul",4.5/5,4.6/5,4.4/5,4.6/5,197+,4.6/5 guest room rating,431 sq ft,19.0,$130
Fuat Pasa Yalisi - Special Class,3.9/5,404 reviews,"Çayirbasi Caddesi. No:148, Büyükdere mahallesi, Istanbul, Istanbul",4.1/5,3.9/5,3.8/5,3.9/5,59+,4/5 guest room rating,269 sq ft,13.0,$83
Royal Arena Hotel & Resort Spa - All Inclusive,2.9/5,228 reviews,"Asarlik Mevkii., Adnan menderes Cad.No:73, Mugla, Mugla",2.9/5,3.1/5,2.2/5,2.9/5,129+,5/5 guest room rating,269 sq ft,20.0,$37
Marla Hotel,3.9/5,476 reviews,"Kazim Dirik Caddesi No. 7, Pasaport-Konak, Izmir",3.9/5,3.9/5,2.9/5,3.8/5,50+,4/5 guest room rating,215 sq ft,6.0,$34
Renaissance Polat Istanbul Hotel,4.1/5,496 reviews,"Sahil Yolu Caddesi No:2, Yesilyurt, Istanbul, Istanbul",4.4/5,4.1/5,3.9/5,4.1/5,110+,5/5 guest room rating,280 sq ft,16.0,$104
Royal Inci Airport Hotel,3.9/5,414 reviews,"Kartaltepe Mah Sadik Sok No: 8, Küçükçekmece, Istanbul",4.1/5,4.1/5,3.7/5,3.9/5,63+,3.8/5 guest room rating,215 sq ft,9.0,$16
Tomtom Suites,4.9/5,468 reviews,"Bogazkesen Cad.Tomtom Kaptan Sokak 18, Istanbul, Istanbul, Istanbul",4.9/5,4.9/5,4.7/5,4.8/5,47+,4.6/5 guest room rating,376 sq ft,9.0,$181
Ansen Suites - Special Class,4.5/5,67 reviews,"Evliya Celebi Mah. MEsrutiyet Cad. No 70, Istanbul",4.5/5,4.4/5,4.2/5,4.2/5,74+,5/5 guest room rating,538 sq ft,10.0,$45
Ada Karakoy Hotel - Special Class,4.4/5,161 reviews,"Kemankes Mah. Gümrük Sk. No:18, Istanbul, Istanbul",4.6/5,4.5/5,4.2/5,4.4/5,57+,4.5/5 guest room rating,129 sq ft,9.0,$60
Hotel Letoon,4.0/5,190 reviews,"Foca Mahallesi 1054 Sokak No 31, Mugla, Mugla",4.0/5,4.2/5,3.6/5,3.8/5,78+,4.3/5 guest room rating,269 sq ft,12.0,$29
Hilton Garden Inn Istanbul Golden Horn,4.0/5,329 reviews,"Sutluce Mah. Imrahor Cad. Dutluk, Sok. No:3 Istanbul, Istanbul, Istanbul",4.3/5,4.1/5,4.2/5,4.2/5,75+,4.4/5 guest room rating,291 sq ft,14.0,$47
Legacy Ottoman Hotel,,431 reviews,"Hobyar Mahallesi Hamidiye Cad. No: 16, Sirkeci, Istanbul, Istanbul",3.6/5,3.6/5,4.0/5,3.5/5,130+,4.2/5 guest room rating,269 sq ft,16.0,$102
The Wings Hotel Istanbul,4.3/5,30 reviews,"Karaköy Kemankes Mah. Gümrük Sok.No:26, Istanbul, Istanbul",4.4/5,4.3/5,4.2/5,4.4/5,57+,4.6/5 guest room rating,420 sq ft,10.0,$129
Hampton by Hilton Istanbul Atakoy,4.4/5,253 reviews,"Atakoy 4. Kisim Cevat Dursunoglu, Cad. No:6 Bakirkoy, Istanbul",4.5/5,4.3/5,4.3/5,4.4/5,43+,4.6/5 guest room rating,237 sq ft,11.0,$61
Yalikavak Marina Boutique Hotel,4.6/5,70 reviews,"Yalikavak Mahallesi, Cokertme Caddesi No: 6 D: 6, Mugla, Mugla",4.7/5,4.6/5,4.4/5,4.5/5,26+,4.7/5 guest room rating,269 sq ft,15.0,$113
Regnum Carya,4.8/5,123 reviews,"Uckumtepesi Mevki, Belek, Antalya",4.9/5,4.6/5,4.9/5,4.8/5,95+,4.9/5 guest room rating,538 sq ft,18.0,$467
The Purl Boutique Hotel,3.8/5,97 reviews,"Bankalar Caddesi NO:2/1, Karakoy/ Istanbul, Istanbul, Istanbul",3.9/5,4.0/5,3.5/5,3.6/5,61+,4.6/5 guest room rating,107 sq ft,9.0,$54
Daru Sultan Galata,4.2/5,13 reviews,"Mesrutiyet Caddesi No 108, Istanbul, Istanbul",4.1/5,4.4/5,4.5/5,4.0/5,83+,4/5 guest room rating,226 sq ft,14.0,$64
Business Life Hotel,4.2/5,129 reviews,"Fulya Mah., Vefa Deresi Sokak No:15/A, Fulya /Sisli, Istanbul, Istanbul",4.3/5,4.4/5,3.7/5,4.2/5,30+,,344 sq ft,11.0,$68
Ramada Encore by Wyndham Istanbul Florya,4.0/5,448 reviews,"Besyol Mah. Birlik Cad.No:10, Sefakoy-Kucukcekmece, Istanbul, Istanbul",4.1/5,4.1/5,3.8/5,4.1/5,50+,4/5 guest room rating,248 sq ft,13.0,$58
Reis Inn Hotel,3.9/5,161 reviews,"Atatürk Mah. Adnan Kahveci Bulvarı No.7, Beylikdüzü, Istanbul, Istanbul",4.1/5,3.8/5,3.4/5,3.9/5,81+,4.2/5 guest room rating,323 sq ft,15.0,$37
The Green Park Pendik,3.5/5,779 reviews,"Kaynarca Mah. Erol Kaya Cad., No:204 Pendik, Istanbul, Istanbul",3.7/5,3.4/5,3.4/5,3.6/5,52+,3.6/5 guest room rating,269 sq ft,15.0,$42
Sanli Suite Hotel,4.3/5,261 reviews,"Eski Uskudar Cad.Elifce Sk.No:3, Zumrutevler, Maltepe, Istanbul",4.5/5,4.4/5,4.3/5,4.3/5,55+,4.2/5 guest room rating,194 sq ft,10.0,$27
Altin Yunus Cesme,3.6/5,376 reviews,"Boyalik Mevkii Kalemburnu, Cesme, Izmir",3.6/5,3.7/5,3.1/5,3.4/5,83+,4.1/5 guest room rating,194 sq ft,18.0,$212
DoubleTree by Hilton Istanbul Avcilar,4.1/5,346 reviews,"Cihangir Mah. D 100 Guney Yan Yol, No:289, Istanbul, Istanbul",4.4/5,4.2/5,4.2/5,4.3/5,104+,4.6/5 guest room rating,291 sq ft,18.0,$69
Hotel Unique - Boutique Class - Adults Only,4.7/5,139 reviews,"1.Karagözler Mah. Fevzi Çakmak Cad., Mugla, Mugla",4.7/5,4.6/5,4.6/5,4.6/5,54+,4.7/5 guest room rating,269 sq ft,10.0,$83
Pasaport Pier Istanbul,3.8/5,51 reviews,"güner sokak no2, Istanbul, Istanbul",4.0/5,4.0/5,3.2/5,3.7/5,61+,5/5 guest room rating,301 sq ft,4.0,$24
Pasaport Pier Hotel,3.5/5,204 reviews,"Cumhuriyet Bulvari No:105, Konak, Izmir",3.4/5,3.6/5,3.1/5,3.4/5,30+,3.8/5 guest room rating,172 sq ft,11.0,$37
Emirtimes Hotel Tuzla,3.9/5,253 reviews,"Orhanli Mah. Demokrasi Cad. No:36, Tuzla, Istanbul",3.9/5,4.1/5,4.4/5,3.9/5,58+,4.5/5 guest room rating,484 sq ft,14.0,$44
Radisson Residences Avrupa TEM Istanbul,4.5/5,83 reviews,"Karayollari Mh. Abdi Ipekci Cad. No: 30, Kucukkoy Gaziosmanpasa, Istanbul, Istanbul",4.6/5,4.5/5,4.2/5,4.5/5,79+,5/5 guest room rating,592 sq ft,19.0,$89
Akra V Hotel,4.5/5,97 reviews,"Lara Yolu, Antalya, Antalya",4.5/5,4.5/5,4.3/5,4.3/5,75+,4.5/5 guest room rating,301 sq ft,17.0,$79
Avrasya Port Hotel,3.8/5,82 reviews,"Küçük Langa Ar. Cd. 9, Istanbul, Istanbul",3.8/5,4.1/5,3.5/5,4.0/5,36+,4.1/5 guest room rating,183 sq ft,7.0,$26
Doubletree By Hilton Hotel Izmir - Alsancak,3.9/5,272 reviews,"Sairesref Bulvari 1373 Sok No5 Alsancak, Izmir, Izmir",4.1/5,4.0/5,3.8/5,3.9/5,109+,5/5 guest room rating,215 sq ft,15.0,$76
Arven Boutique Hotel,4.3/5,157 reviews,"Kucukayasofya Mah Cayiroglu Sk No: 06, Istanbul, Istanbul",4.2/5,4.6/5,3.7/5,4.0/5,42+,4.5/5 guest room rating,118 sq ft,7.0,$21
Perla Arya Hotel,4.4/5,377 reviews,"Oguzlar Mh 1253 Sk N1 Konak, Izmir",4.5/5,4.5/5,4.4/5,4.4/5,26+,4.6/5 guest room rating,172 sq ft,5.0,$25
Vespia Hotel,4.2/5,86 reviews,"Haramidere Caddesi, Yakuplu Mahallesi Haramidere Cad No 6/8, Istanbul",4.4/5,4.2/5,4.1/5,4.2/5,46+,3.8/5 guest room rating,237 sq ft,13.0,$38
D Maris Bay,4.7/5,123 reviews,"Datca Yolu Uzeri 35. Km, Marmaris, Mugla",4.7/5,4.6/5,4.8/5,4.7/5,120+,4.5/5 guest room rating,258 sq ft,20.0,$428
Point Hotel Taksim,4.0/5,338 reviews,"Topcu Caddesi No.2 Taksim, Istanbul, Istanbul",4.1/5,4.0/5,3.5/5,4.0/5,72+,3.8/5 guest room rating,269 sq ft,14.0,$96
Palazzo Donizetti Hotel - Special Class,3.9/5,375 reviews,"Asmali Mescit Mh.Mesrutiye Caddesi. N85, Taksim-Istanbul, Istanbul, Istanbul",4.2/5,4.0/5,3.9/5,4.0/5,57+,4.3/5 guest room rating,269 sq ft,13.0,$64
Gulec Hotel,4.0/5,94 reviews,"Binbirdirek Mah. Dostluk Yurdu Sk. No 2, Istanbul, Istanbul",4.0/5,4.1/5,3.9/5,3.8/5,40+,3.8/5 guest room rating,194 sq ft,7.0,$40
Delta Hotel Istanbul,3.6/5,172 reviews,"Aksaray Caddesi No: 26/1, Laleli, Istanbul",3.8/5,3.6/5,3.6/5,3.6/5,49+,,193 sq ft,10.0,$35
Dedeman Bostancı,4.1/5,490 reviews,"Degirmen Yolu Caddesi, No:39B, Içerenköy Mahallesi Atasehir, Istanbul, Istanbul",4.3/5,4.2/5,4.2/5,4.2/5,49+,4.6/5 guest room rating,312 sq ft,13.0,$73
Uranus Istanbul Topkapı,4.1/5,357 reviews,"Merkezefendi Mah Mevlana Cad No 112 1, Zeytinburnu, Istanbul, Istanbul",4.1/5,4.1/5,4.1/5,4.1/5,48+,,269 sq ft,13.0,$58
Delight Deluxe Hotel,4.4/5,144 reviews,"Barbaros Mah, Civelek sokak No 14 16, Antalya",4.4/5,4.5/5,4.2/5,4.4/5,100+,5/5 guest room rating,25 sq ft,9.0,$42
Espina Hotel,4.2/5,67 reviews,"Çağlayan Mah. 2048 Sk. No: 4, Lara Muratpaşa, Antalya",4.3/5,4.3/5,4.6/5,4.2/5,53+,4.6/5 guest room rating,215 sq ft,9.0,$44
Sumahan on the Water - Special Class,4.6/5,73 reviews,"Kuleli Caddesi No 43, Çengelköy, Istanbul, Istanbul",4.6/5,4.4/5,4.1/5,4.5/5,36+,,215 sq ft,11.0,$325
Soho House Istanbul,4.6/5,136 reviews,"Evliya Çelebi Mahallesi Mesrutiyet, Caddesi No. 56, Istanbul District, Istanbul",4.7/5,4.5/5,4.7/5,4.7/5,75+,5/5 guest room rating,323 sq ft,13.0,$331
Asmin Hotel Mugla,4.3/5,205 reviews,"Çarsi Mh Türk Kuyusu Ali Baba Sok 1030/9, Mugla, Mugla",4.4/5,4.5/5,4.0/5,4.3/5,43+,4.6/5 guest room rating,161 sq ft,12.0,$22
Agaoglu My City,4.3/5,280 reviews,"Cakmak Mh.Tavukcuyolu Cd. No 22, Istanbul, Istanbul",4.5/5,4.4/5,4.2/5,4.3/5,79+,4.5/5 guest room rating,344 sq ft,12.0,$46
Costa Maya Hotel,3.1/5,81 reviews,"Gerence Sokak No: 33, Mugla, Mugla",3.0/5,3.3/5,3.7/5,3.1/5,63+,5/5 guest room rating,205 sq ft,14.0,$28
Kairaba Blue Dreams Resort,3.9/5,154 reviews,"Torba Mahallesi Herodot Bulvari No:11, Mugla, Mugla",3.7/5,3.7/5,4.4/5,3.8/5,56+,3.8/5 guest room rating,258 sq ft,19.0,$96
Ada Home Istanbul,4.2/5,66 reviews,"Kocatepe Mahallesi Feridiye Caddesi 75, Istanbul, Istanbul, Istanbul",4.3/5,4.6/5,3.7/5,4.3/5,21+,,269 sq ft,6.0,$28
Skyport Istanbul Hotel,3.8/5,186 reviews,"Kurtköy mahallesi ankara caddesi no 353, Istanbul",3.8/5,3.7/5,3.4/5,3.6/5,21+,4.3/5 guest room rating,753 sq ft,6.0,$41
Yacht Classic Hotel - Boutique Class,4.7/5,251 reviews,"1 Karagozler No:24, Mugla, Mugla",4.7/5,4.6/5,4.7/5,4.7/5,161+,4.6/5 guest room rating,215 sq ft,10.0,$104
Cityloft 161,4.2/5,726 reviews,"Zümrüt Sokak, Istanbul, Istanbul",4.1/5,4.1/5,3.9/5,4.2/5,110+,4/5 guest room rating,431 sq ft,15.0,$32
Vois Hotel,3.9/5,48 reviews,"Inonu Mah Kayisdagi Cad No 254-256, Atasehir, Istanbul",4.0/5,4.0/5,3.9/5,3.8/5,28+,,269 sq ft,8.0,$32
Seres Hotel,4.1/5,639 reviews,"Hudavendigar Caddesi 25 Sirkeci, Istanbul, Istanbul",4.3/5,4.2/5,4.2/5,4.0/5,50+,3.8/5 guest room rating,172 sq ft,7.0,$44
By Murat Royal Hotels,4.0/5,101 reviews,"Bereketzade Mah Lalelicesme Sok No 16, Galata, Istanbul",4.1/5,4.1/5,3.7/5,3.9/5,42+,3.8/5 guest room rating,215 sq ft,4.0,$19
Urkmez Hotel,4.2/5,300 reviews,"Namik Kemal Cad. No:20, Selcuk, Izmir",4.2/5,4.6/5,4.1/5,3.8/5,28+,,215 sq ft,11.0,$29
Costa Mugla City,3.9/5,149 reviews,"Kumbahçe Mah. 2432 Sok. NO: 26, Mugla, Mugla",3.8/5,4.1/5,3.8/5,3.8/5,52+,3.9/5 guest room rating,194 sq ft,10.0,$23
Alrazi Hotel,3.9/5,63 reviews,"Besyol Mahallesi Birlik Caddesi, Karadeniz Sokak No:13-15, Küçükçekmece, Istanbul",4.1/5,4.0/5,4.1/5,3.7/5,62+,4/5 guest room rating,258 sq ft,17.0,$40
Hotel Agan,3.9/5,992 reviews,"Ebusuud Cad. Saffetipasa Sok. No:6, Sirkeci, Istanbul, Istanbul",4.2/5,4.1/5,3.9/5,3.8/5,37+,3.9/5 guest room rating,161 sq ft,10.0,$30
Rhiss Hotel Bostanci,4.0/5,113 reviews,"Bostanci Mahallesi, Emin Ali Pasa Cd, No 118, Istanbul",4.2/5,4.2/5,3.8/5,4.0/5,69+,4.4/5 guest room rating,237 sq ft,9.0,$43
Ismira Hotel,3.5/5,272 reviews,"Gaziosmanpasa Bulvari No: 28, Alsancak, Izmir",3.6/5,3.6/5,2.9/5,3.4/5,45+,4.4/5 guest room rating,248 sq ft,10.0,$37
Peninsula Galata Boutique Hotel,3.7/5,252 reviews,"Müeyyedzade Mahallesi, Necati Bey, Aynali Lokanta Sokak No:6, Karaköy, Istanbul, Istanbul",4.0/5,4.0/5,3.5/5,3.7/5,38+,5/5 guest room rating,215 sq ft,11.0,$64
Kaleiçi Hotel,4.0/5,79 reviews,"Kilicarslan Mh. Sakarya Sk. No 11, Genclik, Antalya, Antalya",3.9/5,3.9/5,3.9/5,4.0/5,52+,3.8/5 guest room rating,215 sq ft,10.0,$32
The Craton Hotel,3.8/5,35 reviews,"Fulya Mahallesi, Bahceler Sokagi, No:16, Kat: 1, Sisli, Istanbul, Istanbul",4.3/5,4.1/5,4.0/5,4.0/5,91+,,269 sq ft,12.0,$72
Tempo Hotel 4Levent Istanbul,4.1/5,88 reviews,"Sultan Selim Mah., Sultan Selim Cd. No:139, Kağıthane, Istanbul",4.1/5,4.0/5,4.6/5,4.0/5,33+,3.9/5 guest room rating,236 sq ft,8.0,$32
Elite World Istanbul Hotel,3.7/5,354 reviews,"Sehit Muhtar Caddesi No:42, Taksim, Istanbul, Istanbul",3.9/5,3.7/5,3.9/5,3.7/5,48+,4.2/5 guest room rating,279 sq ft,14.0,$98
Divan Suites Istanbul G-Plus,4.1/5,383 reviews,"Baglar Mah. Mimar Sinan Cd., No 35 Gunesli, Istanbul, Istanbul",4.0/5,4.0/5,4.2/5,4.1/5,48+,3.8/5 guest room rating,291 sq ft,14.0,$70
Four Seasons Hotel Istanbul at the Bosphorus,4.8/5,291 reviews,"Ciragan Cad. No. 28, Istanbul, Istanbul",4.9/5,4.8/5,4.8/5,4.8/5,70+,4.6/5 guest room rating,484 sq ft,19.0,$492
Parkhouse Hotel & Spa,4.2/5,157 reviews,"Osmanaga Mah, Muhurdar Fuat SK. No:12, Kadikoy, Istanbul, Istanbul",4.2/5,4.4/5,4.3/5,4.1/5,42+,4.3/5 guest room rating,215 sq ft,14.0,$62
Martı Myra - All Inclusive,4.0/5,158 reviews,"Tekirova, Kemer, Antalya",4.1/5,3.8/5,4.0/5,4.0/5,104+,4.2/5 guest room rating,215 sq ft,18.0,$207
Room Mate Emir,4.5/5,157 reviews,"Kuloglu Mahallesi Sadri Alısık Sokak 33, Istanbul, Istanbul",4.5/5,4.5/5,4.3/5,4.5/5,40+,4.9/5 guest room rating,376 sq ft,6.0,$98
Riverland Suites & Apart Hotel,4.1/5,100 reviews,"Küçük Ayasofya Mah. Özbekler Sok., No: 22 Istanbul, Istanbul",4.2/5,4.2/5,3.9/5,4.1/5,41+,3.6/5 guest room rating,237 sq ft,7.0,$17
Elips Royal Hotel & Spa,3.6/5,282 reviews,"Etiler Mah. 851 Sk. No: 2, Muratpaşa, Antalya",3.9/5,3.6/5,3.5/5,3.7/5,46+,4.5/5 guest room rating,215 sq ft,11.0,$45
Levni Hotel & Spa,4.4/5,863 reviews,"Ankara Caddesi No: 12 Sirkeci, Istanbul, Istanbul",4.5/5,4.6/5,4.2/5,4.4/5,121+,4.6/5 guest room rating,183 sq ft,16.0,$106
En Vie Beach Boutique Hotel-Adult Only,3.6/5,133 reviews,"Ahmet Tokus Blv. Keykubat Cad. 22, Alanya, Antalya",3.8/5,3.6/5,4.2/5,3.6/5,109+,5/5 guest room rating,205 sq ft,8.0,$71
Sahra Airport Hotel,3.6/5,344 reviews,"Kartaltepe Mah. Hisar Sok. No:1, Kucukcekmece, Istanbul",3.7/5,3.7/5,3.5/5,3.6/5,52+,4.3/5 guest room rating,269 sq ft,12.0,$23
Mukarnas Taksim Hotel,4.5/5,130 reviews,"katip mustafa celebi mh ipek sk no 6, Istanbul, Istanbul",4.6/5,4.6/5,4.3/5,4.5/5,65+,5/5 guest room rating,161 sq ft,9.0,$56
Payam Hotel,4.9/5,174 reviews,"Andifli Mah. Yeni Cami Cad. No. 24, Kas, Antalya",4.8/5,4.9/5,4.7/5,4.9/5,64+,5/5 guest room rating,204 sq ft,9.0,$60
Cheya Beşiktaş Hotel,4.1/5,227 reviews,"Barbaros Bulvarı Akdoğan Sk. No:39, Beşiktaş, Istanbul, Istanbul",4.1/5,4.1/5,3.8/5,4.0/5,60+,4.2/5 guest room rating,194 sq ft,8.0,$66
Begonville Beach Hotel - Adults Only,4.0/5,140 reviews,"Siteler Mahallesi 207 sok No 84, Marmaris, Mugla",4.2/5,3.9/5,3.6/5,4.1/5,30+,4.1/5 guest room rating,215 sq ft,9.0,$39
Charisma De Luxe Hotel,4.0/5,208 reviews,"Akyar Mevkii No 7, Kusadasi, Aydin",4.1/5,3.9/5,4.2/5,3.9/5,87+,3.9/5 guest room rating,301 sq ft,19.0,$63
Wyndham Grand Istanbul Europe,4.5/5,716 reviews,"Basin Express Yolu Yavuz Sultan Selim, cad. No:1-3 Günesli, Istanbul, Istanbul",4.7/5,4.5/5,4.5/5,4.6/5,102+,4.5/5 guest room rating,344 sq ft,17.0,$226
Marti Beach Hotel,3.5/5,195 reviews,"Kadınlar Denizi Mahallesi, Kadınlar Denizi Caddesi, No:115, Kusadasi, Aydin",3.3/5,3.3/5,4.0/5,3.3/5,125+,5/5 guest room rating,183 sq ft,9.0,$22
The Haze Karaköy,4.0/5,289 reviews,"Necatibey Caddesi No:36-38, Karaköy, Istanbul",4.2/5,4.0/5,3.9/5,4.1/5,77+,3.7/5 guest room rating,183 sq ft,10.0,$75
Start Hotel,3.9/5,174 reviews,"Ali Çetinkaya Caddesi No: 19, Antalya",3.8/5,4.0/5,3.9/5,3.7/5,56+,4.3/5 guest room rating,193 sq ft,11.0,$29
The Elysium Istanbul,3.9/5,236 reviews,"Taksim Inonu Mah Yedikuyular Caddesi, Cayiri Sokak No 4 Sisli Taksim, Istanbul, Istanbul",4.1/5,3.9/5,3.8/5,4.0/5,88+,4.6/5 guest room rating,301 sq ft,14.0,$67
Holiday Inn Istanbul Sisli,3.9/5,106 reviews,"Halaskar Gazi Cad 19 Mayis Mah No 206, Sisli, Istanbul, Istanbul",4.0/5,4.0/5,3.4/5,3.9/5,75+,5/5 guest room rating,291 sq ft,15.0,$92
Luis Otel,4.5/5,45 reviews,"Önder Cd., Izmir, Izmir",4.7/5,4.6/5,4.6/5,4.5/5,30+,5/5 guest room rating,215 sq ft,7.0,$36
Clarion Hotel Istanbul Mahmutbey,4.0/5,91 reviews,"Mahmutbey Mah. Peyami Safa, Cad. No:44, Bağcılar, Istanbul",4.2/5,4.0/5,3.6/5,4.0/5,108+,5/5 guest room rating,301 sq ft,16.0,$75
Kumsal Otel,3.2/5,20 reviews,"Sahil Cad. No. 114, Arnavutkoy, Istanbul",3.4/5,3.9/5,3.0/5,2.6/5,42+,5/5 guest room rating,161 sq ft,8.0,$32
Agora Guesthouse,4.5/5,66 reviews,"Amiral Tafdil Sokak, No.6, 34122 Istanbul, Fatih, Istanbul, Istanbul",4.6/5,4.6/5,4.2/5,4.4/5,28+,,237 sq ft,5.0,$25
Fraser Place Anthill Istanbul,4.5/5,172 reviews,"Cumhuriyet Mah. Incirlidede Cad. No:6, Bomonti / Sisli, Istanbul, Istanbul",4.5/5,4.5/5,4.7/5,4.5/5,48+,4.8/5 guest room rating,645 sq ft,20.0,$120
Riva's Moda,4.2/5,73 reviews,"Caferaga Mahallesi, Dr. Esat Isik Cd. no 98, Istanbul, Istanbul",4.2/5,4.2/5,4.0/5,4.2/5,51+,4.3/5 guest room rating,183 sq ft,9.0,$46
Hotel Club Phellos,4.0/5,336 reviews,"Dogruyol Sok No 4, Kas, Antalya",4.0/5,4.1/5,3.9/5,3.7/5,22+,4.5/5 guest room rating,161 sq ft,10.0,$35
THE SIGN ŞİLE HOTEL & SPA,3.9/5,164 reviews,"Kumbaba Mah. Uygar Sok. No 40, Sile, Istanbul",3.8/5,3.8/5,4.0/5,3.9/5,89+,3.9/5 guest room rating,280 sq ft,19.0,$37
Yacht Boheme Hotel-Boutique Class - Adults Only,4.9/5,147 reviews,"1. Karegozler Fevzi Cakmak Cad. No. 14, Mugla, Mugla",4.8/5,4.8/5,4.4/5,4.8/5,72+,4.9/5 guest room rating,323 sq ft,11.0,$104
"Sofa Hotel Istanbul, Autograph Collection",4.1/5,325 reviews,"Tesvikiye Caddesi No:41-41A Nisantasi, Istanbul, Istanbul",4.2/5,4.2/5,4.4/5,4.1/5,113+,4/5 guest room rating,431 sq ft,16.0,$158
Villa Pera Suite Hotel,4.6/5,441 reviews,"Kocatepe Mah. Feridiye Cad. No:116, Taksim, Istanbul, Istanbul",4.8/5,4.8/5,4.1/5,4.5/5,65+,4.4/5 guest room rating,161 sq ft,6.0,$28
Guner Business Hotel,4.4/5,38 reviews,"Osmanaga Mahallesi,Gaziosmanpasa Sokak, Istanbul",4.3/5,4.4/5,4.1/5,4.4/5,17+,,258 sq ft,6.0,$58
AC Hotel Istanbul Macka,4.2/5,371 reviews,"Visnezade Mah, Suleyman Seba Cad. No:75, Besiktas, Istanbul, Istanbul",4.4/5,4.3/5,4.0/5,4.3/5,36+,4.2/5 guest room rating,248 sq ft,12.0,$70
Istanbul Gonen Hotel,4.2/5,894 reviews,"Degirmenbahce Caddesi No:15, Yenibosna, Istanbul, Istanbul",4.4/5,4.1/5,3.9/5,4.3/5,65+,4.5/5 guest room rating,301 sq ft,14.0,$64
Luna Blanca Resort & Spa - All Inclusive,4.2/5,183 reviews,"Kumköy Bulv. No:89, Side, Antalya",4.4/5,4.2/5,4.1/5,4.3/5,88+,4/5 guest room rating,290 sq ft,19.0,$98
Nova Plaza Crystal Hotel,3.6/5,57 reviews,"Receppaşa Caddesi No:7, Taksim, Istanbul, Istanbul",3.6/5,3.9/5,3.8/5,3.5/5,73+,,323 sq ft,14.0,$50
Marlight Boutique Hotel - Boutique Class,3.8/5,205 reviews,"Fevzipasa Bulvari 1367, Sokak No:3-5-7, Cankaya, Izmir, Izmir",4.0/5,3.9/5,3.6/5,3.8/5,52+,4.4/5 guest room rating,215 sq ft,12.0,$31
ibis Styles Istanbul Atasehir,4.1/5,43 reviews,"Kucukbakkalkoy Mah, Istanbul, Istanbul",4.2/5,4.2/5,4.5/5,4.1/5,24+,4.6/5 guest room rating,237 sq ft,10.0,$59
Rixos Downtown Antalya,4.1/5,569 reviews,"Sakip Sabanci Boulevard, AntalyaBeach, Antalya, Antalya",4.2/5,4.1/5,4.0/5,4.1/5,110+,4/5 guest room rating,344 sq ft,18.0,$131
Sign by Ersan - Adults Only,4.8/5,67 reviews,"Icmeler mevkii, PK 357, Mugla, Mugla",4.8/5,4.8/5,4.6/5,4.8/5,129+,5/5 guest room rating,484 sq ft,15.0,$156
Tourist Hotel Antalya,3.5/5,162 reviews,"Güzeloba Mah. Örnekköy Cad.No:5, Lara, Antalya, Antalya",3.6/5,3.7/5,3.7/5,3.4/5,64+,,204 sq ft,11.0,$30
The Central Palace Bosphorus,4.4/5,69 reviews,"Haydar Aliyev Cad. No 124, Tarabya, Istanbul, Istanbul",4.5/5,4.4/5,4.2/5,4.4/5,50+,4/5 guest room rating,312 sq ft,11.0,$127
Hotel Antroyal,4.1/5,92 reviews,"Kizilsaray Mah. Güllük Cad. No: 66, Antalya",4.2/5,4.3/5,4.1/5,4.0/5,33+,4.5/5 guest room rating,161 sq ft,7.0,$34
