hotel_name,overall_rating,total_review,location,cleanliness_rating,service_rating,amenities_rating,facilities_rating,total_photo,room_rating,room_size,number_of_amenities,price
Old House Hostel & Pub,3.7/5,33 reviews,"Barbaros mah., Hesapçi Sk. No 34, Antalya",3.6/5,3.5/5,3.5/5,3.6/5,104+,3.8/5 guest room rating,269 sq ft,6.0,$23
Orange County Resort Hotel Kemer - All Inclusive,4.0/5,278 reviews,"Atatürk Bulvari Yeni, Mah., Kemer, Antalya",4.1/5,3.9/5,3.6/5,4.0/5,96+,,,19.0,
Orange County Resort Hotel Belek- All Inclusive,4.2/5,38 reviews,"Bogazak mah. Akdeniz Cad. 50, Sok. No:18 Bogazkent SERIK, Belek, Antalya",4.4/5,4.0/5,4.4/5,4.2/5,48+,,,18.0,
Orange County Resort Hotel Alanya - All Inclusive,4.0/5,306 reviews,"Merkez Mah., Alparslan Turkes Bulvari, Okurcalar, Alanya, Antalya",4.1/5,3.9/5,4.0/5,4.0/5,80+,,,20.0,
The Mugla Royal Palace Hotel,4.2/5,42 reviews,"Torba Mah., Zeytinli Kahve Mevkii, Mugla",4.3/5,4.1/5,1.5/5,4.2/5,204+,,,13.0,
Tui Sensatori Resort Barut Mugla - All Inclusive,4.5/5,21 reviews,"Kargi Köyü, Dutdibi Mevkii, Manolya Sok. No: 4/1, Mugla, Mugla",4.6/5,4.5/5,4.8/5,4.6/5,144+,,,15.0,
Jiva Beach Resort - All Inclusive,4.4/5,245 reviews,"Calis Plaji 1104 Sokak No: 14, Mugla, Mugla",4.5/5,4.5/5,4.1/5,4.5/5,64+,,,19.0,
Titanic Deluxe Golf Belek - All Inclusive,4.4/5,87 reviews,"Kadriye Beldesi Uckumtepesi, Besgoz Cad. 72/1, Belek, Antalya",4.4/5,4.2/5,4.5/5,4.5/5,196+,,,23.0,
Limak Eurasia Luxury Hotel,4.2/5,191 reviews,"Ruzgarlibahce Mahallesi Sehit Yuzbasi, Sinan Eroglu Caddesi No: 5 Kavacik, Beykoz, Istanbul",4.5/5,4.2/5,4.1/5,4.3/5,49+,,,14.0,
IC Hotels Santai Family Resort - All Inclusive,4.3/5,134 reviews,"3 Kum Tepesi Mevkii, Belek, Antalya",4.3/5,4.4/5,4.4/5,4.1/5,121+,,,20.0,
Molton Nisantasi Suites,3.6/5,73 reviews,"Halaskargazi Mah. Süleyman Nazif, Sok. No: 56, Istanbul, Istanbul",3.8/5,3.6/5,3.2/5,3.7/5,70+,,,9.0,
Tui Magic Life Jacaranda - All Inclusive,4.3/5,162 reviews,"Gundogdu Turizm Merkezi, Side, Antalya",4.4/5,4.1/5,4.6/5,4.4/5,78+,,,20.0,
Özkaymak Falez Hotel,2.5/5,284 reviews,"AntalyaFalez Mevkii, Antalya, Antalya",2.8/5,2.5/5,2.4/5,2.5/5,47+,,,19.0,
Hilton Mugla Turkbuku Resort & Spa - All Inclusive,4.0/5,100 reviews,"Sapli Mevkii, Golturkbuku, Mugla, Mugla",4.3/5,4.0/5,3.2/5,4.0/5,80+,,,21.0,
Alley Prime,4.7/5,23 reviews,"Andifli Mahallesi Bülent Kalkavan Sokak, No:14/1, Kas, Antalya",4.7/5,4.5/5,4.7/5,4.8/5,56+,,,9.0,
Suitel Bosphorus Istanbul,4.1/5,171 reviews,"Cihangir Mah Siraselviler Cad No 55, Istanbul, Istanbul",3.9/5,4.2/5,3.8/5,3.9/5,49+,,,9.0,
Premier Solto Hotel By Corendon - Boutique Class,4.1/5,70 reviews,"2 Cark Plaji Liman Mevki, Alacati, Cesme, Izmir",4.1/5,4.1/5,4.2/5,4.2/5,80+,,,17.0,
Kimera Lounge,4.7/5,73 reviews,"Mah. Çirali Mevki Sahil yolu No: 492, Kemer, Antalya",4.8/5,4.8/5,4.8/5,4.8/5,215+,,,12.0,
TUI BLUE Sarigerme Park - All Inclusive,4.5/5,26 reviews,"P K 1 Ortaca Postanesi, Sarigerme, Ortaca, Mugla",4.6/5,4.4/5,5.0/5,4.5/5,103+,,,,
Splendid Palace Hotel,4.4/5,62 reviews,"23 Nisan Cad. No: 39, Buyukada, Adalar, Istanbul",4.6/5,4.3/5,5.0/5,4.4/5,43+,,,9.0,
PH Hotel Mugla,4.2/5,9 reviews,"Oludeniz Mah. Asar Caddesi No.8, Mugla, Mugla",3.8/5,4.2/5,4.5/5,3.8/5,30+,,,9.0,$47
Hapimag Resort Sea Garden - All Inclusive,4.2/5,35 reviews,"P.K. 3, Yaliçiftlik, Mugla, Mugla",4.2/5,4.1/5,3.9/5,4.2/5,71+,,,16.0,
Ascot Hotel Buyukada,4.3/5,235 reviews,"Mandenler Mahallesi Cinar Caddesi No:6, Buyukada, Adalar, Istanbul",4.2/5,4.3/5,4.2/5,4.3/5,68+,,,10.0,
Royal Cesme Hotel - Adults Only,4.3/5,21 reviews,"Celal Bayar Mah. 5193 Sok. No 19, Ilica, Çesme, Izmir",4.6/5,4.6/5,5.0/5,4.5/5,45+,,,13.0,
Rooms Smart Luxury Hotel & Beach,3.9/5,151 reviews,"Boyalık Mah., 3424 Sokak No:9, Cesme, Izmir",4.0/5,4.2/5,3.5/5,3.7/5,42+,,,14.0,
Delta Hotel,4.4/5,136 reviews,"Barismanco Bulv Calis Plaji, Mugla, Mugla",4.6/5,4.6/5,4.4/5,4.4/5,63+,,,8.0,
The Luvi Hotel – All Inclusive,3.5/5,25 reviews,"Gümbet Mah.Adnan Menderes Cad., M. Kâsif Ertekin Sok.No:10, Mugla, Mugla",3.0/5,3.4/5,0.0/5,3.2/5,52+,,,13.0,
TUI BLUE Seno,4.7/5,33 reviews,"Sarigerme Mah. 2077 Cad. No. 11, Ortaca, Mugla",4.8/5,4.7/5,4.6/5,4.8/5,56+,,,14.0,
Amore Boutique Hotel,4.1/5,30 reviews,"Dirmil Mah. Orkide Sk. No 18, A 1, Yalikavak, Mugla, Mugla",4.3/5,4.0/5,4.2/5,4.1/5,58+,,,8.0,
Asteria Kemer Resort - All Inclusive,4.3/5,90 reviews,"Çamyuva Mah. Turizm Bulv. No 19, Kemer, Antalya",4.3/5,4.3/5,4.4/5,4.3/5,80+,,,18.0,
Sea Breeze Hotel & Apartments,4.4/5,29 reviews,"Oludeniz Mah., 134. Sk. No:7, Mugla, Mugla",4.4/5,4.4/5,4.0/5,4.5/5,113+,,,13.0,
Beyaz Yunus Hotel - Adults only,4.8/5,17 reviews,"Kıdrak Yolu Üzeri 22, Mugla, Mugla",5.0/5,4.9/5,5.0/5,4.9/5,30+,,,,
TUI BLUE Seno,4.7/5,33 reviews,"Sarigerme Mah. 2077 Cad. No. 11, Ortaca, Mugla",4.8/5,4.7/5,4.6/5,4.8/5,56+,,,14.0,
